title,artist,composer,lyricist,dates
SLUMP(Japanese Ver.)(Tower of God ED),Stray Kids,"BANG CHAN 3RACHA,HAN 3RACHA","KM-MARKIT,HAN 3RACHA",2020-08-31
West Coast Love,Emotional Oranges,"AYAL YONATAN,BELL MITCH,NAFICY AZAD POURSOLTANY,PORTER KELLY VALENTINA,REED LOU","AYAL YONATAN,BELL MITCH,NAFICY AZAD POURSOLTANY,PORTER KELLY VALENTINA,REED LOU",2020-08-31
Both Sides Now,Joni Mitchell,JONI MITCHELL,JONI MITCHELL,2020-09-30
Faded,"Devine Channel(Feat.루피,찬열(EXO))","LOEY,LOOPY (루피),임광욱,RYAN KIM,MAGGIANI ARIS ANDREAS","LOEY,LOOPY (루피)",2020-09-30
HELICOPTER,CLC,"HYUK SHIN,FONTANA MELANIE JOY,SCHULZ MICHEL,PARK JISOO","BREADBEAT,장예은,조윤경",2020-09-30
Last Call,Hudson Thames,"MAX ANTHONY MCELLIGOTT,STEPHAN MOCCIO,THAMES HUDSON","MAX ANTHONY MCELLIGOTT,STEPHAN MOCCIO,THAMES HUDSON",2020-09-30
Memento(Re:ゼロから始める異世界生活 ED),nonoc,TOM-H @ CK,HOTARU,2020-09-30
my future,Billie Eilish,"BILLIE EILISH O'CONNELL, FINNEAS BAIRD OCONNELL","BILLIE EILISH O'CONNELL, FINNEAS BAIRD OCONNELL",2020-09-30
One(Monster & Infinity),SuperM,"KENZIE,GUSMARK JONATAN,EVERS LUDVIG CARL,MCKINNON ADRIAN,MCCOY WILBART III,BOBII LEWIS","KENZIE,MCKINNON ADRIAN,MCCOY WILBART III,BOBII LEWIS",2020-09-30
Only One,Gallant,BOA,"BOA,GALLANT",2020-09-30
Oscar,"pH-1,Golden(김지현),빅나티(서동현),박재범","COOGIE,PH-1,G SOUL,BIG NAUGHTY(서동현),박재범","PH-1,G SOUL,BIG NAUGHTY(서동현),박재범",2020-09-30
Rager teenager!,Troye Sivan,"OSCAR MICHAEL GOERRES,TROYE MELLET","OSCAR MICHAEL GOERRES,TROYE MELLET",2020-09-30
Roses,SAINt JHN,"PHILLIPS CARLOS ST JOHN,STASHENKO LEE","PHILLIPS CARLOS ST JOHN,STASHENKO LEE",2020-09-30
Savage Love (Laxed - Siren Beat),"Jawsh 685,Jason Derulo","DESROULEAUX JASON JOEL,GREISS PHILIPPE HENRI,HINDLIN JACOB KASHER,NANAI JOSH","DESROULEAUX JASON JOEL,GREISS PHILIPPE HENRI,HINDLIN JACOB KASHER,NANAI JOSH",2020-09-30
Survival of the Illest(ヒプノシスマイク),Division All Stars,"AMON HAYASHI,DIRTY ORANGE",AMON HAYASHI,2020-09-30
Tell me(Fate/Grand Order -絶対魔獣戦線バビロニア- OST),milet,"MILET,Ryosuke ＂Dr.R＂Sakai","MILET,Ryosuke ＂Dr.R＂Sakai",2020-09-30
The Star Spangled Banner(Live from Super Bowl XXV),"Whitney Houston,The Florida Orchestra","KEY FRANCIS SCOTT,SMITH JOHN STAFFORD","KEY FRANCIS SCOTT,SMITH JOHN STAFFORD",2020-09-30
To Be Young,Anne-Marie(Feat.Doja Cat),"AMALA ZANDILE DLAMINI,ANNE-MARIE ROSE NICHOLSON 외 4명","AMALA ZANDILE DLAMINI,ANNE-MARIE ROSE NICHOLSON 외 4명",2020-09-30
WAP,Cardi B(Feat.Megan Thee Stallion),"ALMANZAR BELCALIS,FOYE JAMES III,OWENS AUSTIN J,PETE MEGAN J,RODRIGUEZ FRANK BRENT,THORPE JORDEN","ALMANZAR BELCALIS,FOYE JAMES III,OWENS AUSTIN J,PETE MEGAN J,RODRIGUEZ FRANK BRENT,THORPE JORDEN",2020-09-30
WHATS POPPIN,"Jack Harlow(Feat.DaBaby,Tory Lanez & Lil Wayne)","CLEMONS DARRYL LORENZO,HARLOW JACKMAN THOMAS,LUCAS JOHN W.,MORGAN TAHJ,WARD II NATHAN","CLEMONS DARRYL LORENZO,HARLOW JACKMAN THOMAS,LUCAS JOHN W.,MORGAN TAHJ,WARD II NATHAN",2020-09-30
